rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.2515525071832422,0.0,0.25959076333940806,0.0,12.133551836013794,0.0,0.025929689407348633,0.0,0.01,0.01,"{'model__C': 0.01, 'model__tol': 0.01}",0.2515525071832422,0.25959076333940806
2,0.2512744461951988,0.0,0.2595215575907172,0.0,25.965557098388672,0.0,0.012965679168701172,0.0,0.01,1e-06,"{'model__C': 0.01, 'model__tol': 1e-06}",0.2512744461951988,0.2595215575907172
2,0.2512744461951988,0.0,0.2595215575907172,0.0,22.37416362762451,0.0,0.013962268829345703,0.0,0.01,1e-05,"{'model__C': 0.01, 'model__tol': 1e-05}",0.2512744461951988,0.2595215575907172
2,0.2512744461951988,0.0,0.2595215575907172,0.0,18.66408634185791,0.0,0.011966943740844727,0.0,0.01,0.0001,"{'model__C': 0.01, 'model__tol': 0.0001}",0.2512744461951988,0.2595215575907172
2,0.2512744461951988,0.0,0.2594754204249233,0.0,16.015169620513916,0.0,0.013962984085083008,0.0,0.01,0.001,"{'model__C': 0.01, 'model__tol': 0.001}",0.2512744461951988,0.2594754204249233
6,0.24923533228288072,0.0,0.2579067567879305,0.0,33.710843563079834,0.0,0.01894974708557129,0.0,0.1,1e-06,"{'model__C': 0.1, 'model__tol': 1e-06}",0.24923533228288072,0.2579067567879305
6,0.24923533228288072,0.0,0.25788368820503355,0.0,31.703210830688477,0.0,0.017951011657714844,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.24923533228288072,0.25788368820503355
6,0.24923533228288072,0.0,0.2579067567879305,0.0,27.284031867980957,0.0,0.012965202331542969,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.24923533228288072,0.2579067567879305
6,0.24923533228288072,0.0,0.2579298253708275,0.0,21.657079696655273,0.0,0.012965679168701172,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.24923533228288072,0.2579298253708275
6,0.24923533228288072,0.0,0.2579298253708275,0.0,15.385851383209229,0.0,0.010970830917358398,0.0,0.1,0.01,"{'model__C': 0.1, 'model__tol': 0.01}",0.24923533228288072,0.2579298253708275
11,0.24867921030679396,0.0,0.25779141387344573,0.0,20.143127918243408,0.0,0.012965202331542969,0.0,1,0.01,"{'model__C': 1, 'model__tol': 0.01}",0.24867921030679396,0.25779141387344573
12,0.24840114931875057,0.0,0.25762993379316707,0.0,25.222543478012085,0.0,0.012965679168701172,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.24840114931875057,0.25762993379316707
13,0.24821577532672165,0.0,0.2577222081247549,0.0,40.912580728530884,0.0,0.012966156005859375,0.0,1,1e-06,"{'model__C': 1, 'model__tol': 1e-06}",0.24821577532672165,0.2577222081247549
13,0.24821577532672165,0.0,0.25774527670765185,0.0,36.70583391189575,0.0,0.012964963912963867,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.24821577532672165,0.25774527670765185
13,0.24821577532672165,0.0,0.2577222081247549,0.0,29.9738347530365,0.0,0.011969566345214844,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.24821577532672165,0.2577222081247549
13,0.24821577532672165,0.0,0.25795289395372445,0.0,22.486860513687134,0.0,0.012964963912963867,0.0,10,0.01,"{'model__C': 10, 'model__tol': 0.01}",0.24821577532672165,0.25795289395372445
17,0.24803040133469273,0.0,0.25799903111951833,0.0,17.50618028640747,0.0,0.008976221084594727,0.0,100,0.01,"{'model__C': 100, 'model__tol': 0.01}",0.24803040133469273,0.25799903111951833
18,0.24793771433867828,0.0,0.2573531107984037,0.0,38.918911933898926,0.0,0.00797891616821289,0.0,100,1e-06,"{'model__C': 100, 'model__tol': 1e-06}",0.24793771433867828,0.2573531107984037
18,0.24793771433867828,0.0,0.2573531107984037,0.0,34.478787660598755,0.0,0.008977413177490234,0.0,100,1e-05,"{'model__C': 100, 'model__tol': 1e-05}",0.24793771433867828,0.2573531107984037
18,0.24793771433867828,0.0,0.25751459087868234,0.0,25.840890169143677,0.0,0.00897669792175293,0.0,100,0.001,"{'model__C': 100, 'model__tol': 0.001}",0.24793771433867828,0.25751459087868234
21,0.24784502734266384,0.0,0.25739924796419755,0.0,44.81713891029358,0.0,0.012964963912963867,0.0,10,1e-06,"{'model__C': 10, 'model__tol': 1e-06}",0.24784502734266384,0.25739924796419755
21,0.24784502734266384,0.0,0.25739924796419755,0.0,40.98339343070984,0.0,0.021940231323242188,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.24784502734266384,0.25739924796419755
21,0.24784502734266384,0.0,0.2574223165470945,0.0,32.47714376449585,0.0,0.012964248657226562,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.24784502734266384,0.2574223165470945
21,0.24784502734266384,0.0,0.25751459087868234,0.0,28.03003430366516,0.0,0.008976459503173828,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.24784502734266384,0.25751459087868234
25,0.24775234034664936,0.0,0.25739924796419755,0.0,31.80194616317749,0.0,0.01296544075012207,0.0,100,0.0001,"{'model__C': 100, 'model__tol': 0.0001}",0.24775234034664936,0.25739924796419755
